doc_id,canonical_filename,canonical_path,title,year,doi,geo_scope,metadata_confidence,metric_bucket_primary,metric_bucket_secondary,sha256_hash,file_size_bytes,original_filename,source_folder
KCDI000001,kcdi000001_2020_vol_0123456789_journal_industrial_and_business_economics_2020_519_530.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000001_2020_vol_0123456789_journal_industrial_and_business_economics_2020_519_530.pdf,Vol.:(0123456789)Journal of Industrial and Business Economics (2020) 47:519–530,2020,10.1007/s40812-020-00170-x,Kerala,high,Unknown,,53a4ebca5056e1ebe93633e5c4a056537f0fb8001162026e6f37e350f1602993,779453,A critique of the Indian governments response to the COVID-19 pandemic_W3041277519.pdf,Metrics_Corpus
KCDI000002,kcdi000002_2009_data_mining_framework_analyze.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000002_2009_data_mining_framework_analyze.pdf,A data mining framework to analyze,2009,10.1186/s40537-015-0035-y,India-transferable,high,Employment & Labor Market,,1f71ee153c7a1d16917661c93164463a24c72e9833ae7ecc47e940a517b7d72a,1854017,A data mining framework to analyze road accident data_W2173274667.pdf,Metrics_Corpus
KCDI000003,kcdi000003_2022_scientific_data_2022_176_https_doi_org_1038_s41597_022.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000003_2022_scientific_data_2022_176_https_doi_org_1038_s41597_022.pdf,1 Scientific  Data  |           (2022) 9:176  | https://doi.org/10.1038/s41597-022-01284-8,2022,10.1038/s41597-022-01284-8,Unknown,high,Unknown,,bdb7392af68541c62658b926ed47b14cfdc82aa2290946d80ec4195e721a80c6,3756423,A global record of annual terrestrial Human Footprint dataset from 2000 to 2018_W4224210353.pdf,Metrics_Corpus
KCDI000004,kcdi000004_2021_the_journal_threatened_taxa_jott_dedicated_building_evidence_for_conservation.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000004_2021_the_journal_threatened_taxa_jott_dedicated_building_evidence_for_conservation.pdf,The Journal of Threatened Taxa (JoTT) is dedicated to building evidence for conservation globally by publishing peer-reviewed articles,2021,10.11609/jott.6998.13.6.18518-18531,India-transferable,high,Tax Revenue & Municipal Finance,,fa2a08a35c6a0b60cbc11389ea6d478e2425290396a4f0f269ce6c635d16ac0d,2652042,A looming exotic reptile pet trade in India patterns and knowledge gaps_W3164111842.pdf,Metrics_Corpus
KCDI000005,kcdi000005_2024_hepat_this_open_access_article.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000005_2024_hepat_this_open_access_article.pdf,,2024,10.7759/cureus.55381,India-transferable,low,Major Illness & Health,,a04b24469e28cecb967bb7bd39f9c9418ce0ab826192d412f2cae8c2720212e1,579915,A Narrative Review of Urbanization and Mental Health An Indian Perspective_W4392348468.pdf,Metrics_Corpus
KCDI000006,kcdi000006_2021_operations_research_and_decisions.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000006_2021_operations_research_and_decisions.pdf,OPERATIONS RESEARCH AND DECISIONS,2021,10.37190/ord210404,India-transferable,high,Life Expectancy & Mortality,,e9f761d8a7aac760a8e0dccf66ad2965f558ed708288a87cd118013d32d59860,545601,A panel data estimation of the determinants of life expectancy in selected SAARC countries_W4249640058.pdf,Metrics_Corpus
KCDI000007,kcdi000007_.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000007_.pdf,,,,Unknown,low,Life Expectancy & Mortality,,0efb9a79b674ebaace36ae51d28f139ccec9c400aef2108b0925ef3faa378d4e,346399,A peek into mass mortality caused by antimicrobial resistant Edwardsiella tarda in goldfish Carassiu_W4205162949.pdf,Metrics_Corpus
KCDI000008,kcdi000008_.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000008_.pdf,,,,Unknown,low,Major Illness & Health,,991ffe7685bcb564be33f10937361bd59447b90eb977e39eb9fd4f76af246dfa,379501,A Population Health Approach to Address the Burden of Congenital Heart Disease in Kerala India_W3207936931.pdf,Metrics_Corpus
KCDI000009,kcdi000009_2019_ethnobotany_research_and_applications.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000009_2019_ethnobotany_research_and_applications.pdf,Ethnobotany Research and Applications,2019,10.32859/era.18.35.1-30,India-transferable,high,Unknown,,7df65684b63d908ef1e094ea75461a8aee171e2f5f31eef4e4691041a29c09fd,2375024,A quantitative medico-botanical expedition of Fairy Meadows National Park Diamir Gilgit Baltistan Pa_W2986932602.pdf,Metrics_Corpus
KCDI000010,kcdi000010_2011_research_article_open_access.pdf,C:\Users\kthom\OneDrive\Documents\Community_development\KCDI_CORPUS\01_canonical_pdfs\kcdi000010_2011_research_article_open_access.pdf,RESEARCH ARTICLE Open Access,2011,10.1186/s12906-017-1574-xBackground,Kerala,high,Unknown,,678c3d6ddf711a364402ef538c3555a67824eef3cb4256c5b175ca1689ade79c,664546,A Randomized controlled trial of the effect of yoga and peer support on glycaemic outcomes in women _W2587609521.pdf,Metrics_Corpus
